iter	RMSE
0	72.7451545
1	71.0355811
2	69.3773933
3	67.78563108
4	66.23437654
5	64.74660392
6	63.3082924
7	61.93093419
8	60.60735695
9	59.33454414
10	58.10106406
11	56.89792312
12	55.75656445
13	54.6437247
14	53.55936103
15	52.52931245
16	51.52492169
17	50.55669041
18	49.64549613
19	48.75050934
20	47.91320463
21	47.08248961
22	46.28720665
23	45.54075709
24	44.81565186
25	44.10033373
26	43.42691276
27	42.78983294
28	42.18725058
29	41.60369642
30	41.03602844
31	40.50868944
32	39.98887992
33	39.47969724
34	38.9895913
35	38.53807829
36	38.10464697
37	37.67847717
38	37.28239569
39	36.87327258
40	36.50163398
41	36.1397207
42	35.80039785
43	35.45549725
44	35.12757858
45	34.83055422
46	34.52527919
47	34.25981864
48	33.98349427
49	33.72494474
50	33.48600915
51	33.25937997
52	33.03413494
53	32.81241573
54	32.60483716
55	32.40549567
56	32.22395088
57	32.01816264
58	31.84991397
59	31.69373066
60	31.54205488
61	31.39829996
62	31.23330249
63	31.09447517
64	30.96569727
65	30.85123824
66	30.72630827
67	30.60183264
68	30.48841374
69	30.38229278
70	30.25062157
71	30.15277777
72	30.04207096
73	29.94356998
74	29.82329131
75	29.7267962
76	29.64345561
77	29.56792826
78	29.49422705
79	29.39928969
80	29.30244638
81	29.20657642
82	29.14622859
83	29.06824539
84	28.99492866
85	28.90654757
86	28.82138581
87	28.74101892
88	28.67326254
89	28.62258538
90	28.54665238
91	28.4773027
92	28.41196336
93	28.33797014
94	28.29957652
95	28.24745594
96	28.18711322
97	28.14910127
98	28.08818601
99	28.04486548
100	28.00123626
101	27.94486636
102	27.89756362
103	27.8562974
104	27.81319809
105	27.75425609
106	27.70960038
107	27.6810665
108	27.63750136
109	27.60823788
110	27.58214565
111	27.545437
112	27.50079209
113	27.46249206
114	27.43726669
115	27.4165868
116	27.39550259
117	27.37427724
118	27.34812867
119	27.32500037
120	27.29829146
121	27.27202773
122	27.24038345
123	27.20631144
124	27.17425155
125	27.13651915
126	27.10377091
127	27.07999117
128	27.0605763
129	27.03839476
130	27.0065389
131	26.98908452
132	26.97060741
133	26.94236908
134	26.91004062
135	26.88551263
136	26.87091571
137	26.83772373
138	26.81773884
139	26.79865549
140	26.7754291
141	26.76043769
142	26.74115531
143	26.72565818
144	26.7065883
145	26.68865751
146	26.67227229
147	26.65361821
148	26.62955975
149	26.60093463
150	26.58272923
151	26.55483952
152	26.54255012
153	26.53115654
154	26.50671841
155	26.48768306
156	26.46356142
157	26.43420865
158	26.41548359
159	26.40012212
160	26.38272444
161	26.36366391
162	26.34078097
163	26.31685035
164	26.28621272
165	26.262032
