iter	Passed	Remaining
299	678871	1584032
300	681146	1581799
301	683399	1579513
302	685681	1577294
303	687927	1574992
304	690205	1572762
305	692456	1570473
306	694715	1568201
307	696936	1565843
308	699215	1563617
309	701491	1561385
310	703752	1559118
311	705997	1556814
312	708308	1554657
313	710617	1552494
314	712903	1550282
315	715119	1547916
316	717371	1545630
317	719626	1543350
318	721904	1541119
319	724180	1538882
320	726453	1536641
321	728731	1534409
322	730983	1532122
323	733263	1529896
324	735516	1527610
325	737777	1525343
326	740049	1523098
327	742373	1520960
328	744655	1518735
329	746908	1516450
330	749218	1514280
331	751496	1512046
332	753764	1509792
333	756023	1507520
334	758307	1505296
335	760566	1503023
336	762809	1500719
337	765071	1498454
338	767328	1496177
339	769596	1493921
340	771872	1491682
341	774133	1489415
342	776446	1487246
343	778684	1484933
344	780956	1482684
345	783217	1480417
346	785448	1478092
347	787699	1475804
348	789951	1473519
349	792244	1471310
350	794528	1469085
351	796797	1466831
352	799061	1464568
353	801341	1462335
354	803619	1460098
355	805922	1457905
356	808150	1455576
357	810433	1453347
358	812691	1451073
359	814919	1448745
360	817206	1446524
361	819442	1444211
362	821736	1442000
363	823967	1439679
364	826226	1437407
365	828505	1435171
366	830763	1432896
367	833020	1430621
368	835268	1428332
369	837525	1426056
370	839796	1423805
371	842055	1421534
372	844312	1419259
373	846564	1416977
374	848837	1414729
375	851075	1412423
376	853381	1410230
377	855628	1407939
378	857953	1405776
379	860246	1403560
380	862515	1401304
381	864784	1399049
382	867029	1396754
383	869332	1394553
384	871615	1392321
385	873879	1390056
386	876173	1387840
387	878485	1385652
388	880768	1383418
389	883079	1381227
390	885320	1378927
391	887586	1376664
392	889879	1374444
393	892149	1372189
394	894464	1370002
395	896748	1367767
396	899018	1365511
397	901254	1363204
398	903520	1360942
399	905764	1358647
400	908032	1356387
401	910330	1354173
402	912620	1351946
403	914874	1349667
404	917150	1347418
405	919399	1345131
406	921711	1342935
407	923960	1340648
408	926242	1338409
409	928505	1336142
410	930753	1333853
411	933017	1331588
412	935291	1329336
413	937562	1327080
414	939831	1324823
415	942085	1322543
416	944342	1320267
417	946631	1318036
418	948906	1315786
419	951178	1313532
420	953450	1311277
421	955742	1309050
422	957991	1306763
423	960258	1304501
424	962555	1302281
425	964822	1300019
426	967088	1297756
427	969323	1295451
428	971557	1293145
429	973798	1290849
430	976105	1288640
431	978385	1286396
432	980657	1284140
433	982922	1281876
434	985171	1279590
435	987431	1277319
436	989750	1275125
437	992015	1272859
438	994287	1270604
439	996529	1268309
440	998826	1266086
441	1001096	1263827
442	1003357	1261557
443	1005623	1259294
444	1007892	1257033
445	1010142	1254751
446	1012400	1252477
447	1014674	1250224
448	1017004	1248038
449	1019275	1245780
450	1021535	1243510
451	1023818	1241266
452	1026095	1239016
453	1028355	1236744
454	1030674	1234543
455	1032936	1232274
456	1035212	1230022
457	1037479	1227759
458	1039759	1225512
459	1042032	1223255
460	1044284	1220975
461	1046560	1218722
462	1048815	1216445
463	1051072	1214169
464	1053342	1211910
465	1055634	1209675
466	1057914	1207427
467	1060217	1205204
468	1062557	1203022
469	1064803	1200736
470	1067065	1198466
471	1069357	1196230
472	1071622	1193964
473	1073885	1191695
474	1076178	1189460
475	1078465	1187217
476	1080740	1184962
477	1083078	1182775
478	1085371	1180539
479	1087683	1178323
480	1089959	1176068
481	1092228	1173805
482	1094483	1171527
483	1096756	1169268
484	1098999	1166979
485	1101260	1164707
486	1103543	1162459
487	1105805	1160189
488	1108081	1157933
489	1110310	1155628
490	1112573	1153360
491	1114827	1151081
492	1117089	1148812
493	1119328	1146518
494	1121623	1144282
495	1123878	1142006
496	1126125	1139720
497	1128414	1137478
498	1130665	1135197
499	1132942	1132942
500	1135204	1130672
501	1137472	1128408
502	1139767	1126171
503	1142021	1123894
504	1144305	1121645
505	1146630	1119437
506	1148900	1117175
507	1151179	1114921
508	1153457	1112666
509	1155713	1110391
510	1157968	1108114
511	1160238	1105852
512	1162491	1103574
513	1164731	1101282
514	1166971	1098992
515	1169245	1096734
516	1171522	1094478
517	1173806	1092229
518	1176067	1089958
519	1178329	1087688
520	1180617	1085442
521	1182885	1083178
522	1185210	1080966
523	1187522	1078741
524	1189817	1076501
525	1192086	1074237
526	1194369	1071986
527	1196654	1069736
528	1198914	1067464
529	1201182	1065199
530	1203456	1062940
531	1205710	1060662
532	1207992	1058409
533	1210275	1056157
534	1212538	1053888
535	1214815	1051631
536	1217056	1049343
537	1219360	1047108
538	1221684	1044891
539	1224067	1042723
540	1226337	1040460
541	1228643	1038226
542	1230906	1035956
543	1233229	1033736
544	1235511	1031482
545	1237797	1029231
546	1240050	1026952
547	1242321	1024688
548	1244659	1022479
549	1246919	1020207
550	1249226	1017972
551	1251493	1015704
552	1253789	1013461
553	1256101	1011229
554	1258417	1009001
555	1260663	1006716
556	1262984	1004492
557	1265267	1002237
558	1267541	999974
559	1269810	997708
560	1272105	995462
561	1274406	993220
562	1276675	990954
563	1279001	988731
564	1281258	986455
565	1283533	984193
566	1285860	981971
567	1288156	979724
568	1290435	977464
569	1292674	975175
570	1294970	972928
571	1297241	970663
572	1299492	968382
573	1301778	966128
574	1304044	963859
575	1306330	961604
576	1308605	959341
577	1310916	957105
578	1313203	954850
579	1315489	952595
580	1317784	950347
581	1320104	948116
582	1322358	945838
583	1324631	943573
584	1326858	941275
585	1329132	939011
586	1331410	936750
587	1333686	934488
588	1335967	932228
589	1338222	929951
590	1340504	927692
591	1342731	925395
592	1344989	923121
593	1347250	920848
594	1349526	918585
595	1351830	916341
596	1354104	914077
597	1356402	911829
598	1358660	909553
599	1360903	907268
600	1363180	905006
601	1365516	902783
602	1367772	900506
603	1370026	898229
604	1372288	895957
605	1374552	893686
606	1376806	891408
607	1379085	889147
608	1381347	886875
609	1383627	884614
610	1385876	882333
611	1388158	880074
612	1390480	877840
613	1392756	875576
614	1395079	873342
615	1397330	871062
616	1399606	868799
617	1401855	866519
618	1404177	864283
619	1406482	862037
620	1408755	859772
621	1411008	857493
622	1413282	855228
623	1415535	852950
624	1417811	850687
625	1420069	848411
626	1422305	846124
627	1424563	843849
628	1426816	841572
629	1429114	839321
630	1431383	837053
631	1433655	834786
632	1435911	832510
633	1438268	830293
634	1440555	828035
635	1442854	825784
636	1445097	823501
637	1447380	821241
638	1449660	818978
639	1451910	816699
640	1454153	814416
641	1456429	812152
642	1458675	809870
643	1460936	807598
644	1463184	805318
645	1465443	803045
646	1467723	800782
647	1469999	798518
648	1472301	796267
649	1474570	793999
650	1476844	791733
651	1479123	789470
652	1481394	787203
653	1483651	784928
654	1485889	782644
655	1488130	780361
656	1490417	778102
657	1492660	775820
658	1494943	773559
659	1497223	771297
660	1499484	769024
661	1501742	766750
662	1503989	764471
663	1506258	762202
664	1508491	759916
665	1510742	757639
666	1513050	755391
667	1515322	753124
668	1517606	750863
669	1519877	748596
670	1522156	746333
671	1524462	744082
672	1526759	741828
673	1529051	739571
674	1531316	737300
675	1533648	735062
676	1535931	732800
677	1538175	730519
678	1540452	728255
679	1542781	726015
680	1545061	723751
681	1547347	721490
682	1549675	719249
683	1551949	716982
684	1554206	714708
685	1556481	712442
686	1558736	710166
687	1560977	707885
688	1563238	705612
689	1565501	703341
690	1567768	701071
691	1570052	698809
692	1572300	696531
693	1574552	694254
694	1576864	692005
695	1579148	689742
696	1581409	687470
697	1583687	685205
698	1585949	682933
699	1588202	680658
700	1590481	678393
701	1592786	676140
702	1595062	673874
703	1597313	671597
704	1599582	669328
705	1601851	667059
706	1604168	664811
707	1606448	662546
708	1608697	660269
709	1610959	657997
710	1613229	655729
711	1615513	653466
712	1617818	651211
713	1620094	648945
714	1622406	646693
715	1624663	644419
716	1626956	642160
717	1629252	639901
718	1631523	637632
719	1633802	635367
720	1636066	633096
721	1638327	630824
722	1640596	628554
723	1642886	626293
724	1645173	624031
725	1647445	621763
726	1649707	619491
727	1651934	617206
728	1654201	614936
729	1656504	612679
730	1658755	610403
731	1661021	608133
732	1663266	605855
733	1665529	603584
734	1667801	601316
735	1670068	599046
736	1672341	596778
737	1674612	594510
738	1676890	592244
739	1679153	589972
740	1681460	587716
741	1683736	585450
742	1685980	583172
743	1688251	580903
744	1690577	578654
745	1692841	576383
746	1695125	574118
747	1697395	571849
748	1699671	569582
749	1701941	567313
750	1704277	565066
751	1706529	562791
752	1708794	560521
753	1711082	558257
754	1713347	555986
755	1715611	553715
756	1717911	551456
757	1720206	549195
758	1722453	546918
759	1724744	544656
760	1726986	542378
761	1729272	540113
762	1731507	537833
763	1733806	535573
764	1736099	533311
765	1738350	531036
766	1740601	528761
767	1742897	526500
768	1745200	524240
769	1747500	521980
770	1749826	519728
771	1752109	517462
772	1754383	515194
773	1756685	512934
774	1758928	510656
775	1761241	508399
776	1763526	506134
777	1765854	503881
778	1768082	501599
779	1770348	499329
780	1772593	497052
781	1774844	494777
782	1777177	492525
783	1779467	490261
784	1781714	487985
785	1783973	485712
786	1786247	483444
787	1788477	481164
788	1790747	478894
789	1792980	476615
790	1795266	474349
791	1797522	472076
792	1799782	469804
793	1802032	467529
794	1804311	465262
795	1806561	462988
796	1808790	460708
797	1811046	458435
798	1813316	456165
799	1815599	453899
800	1817856	451627
801	1820130	449358
802	1822422	447094
803	1824723	444833
804	1826976	442559
805	1829203	440279
806	1831453	438005
807	1833702	435731
808	1835975	433462
809	1838236	431191
810	1840485	428917
811	1842769	426651
812	1845132	424403
813	1847388	422130
814	1849609	419850
815	1851892	417583
816	1854147	415310
817	1856467	413052
818	1858730	410781
819	1860964	408504
820	1863247	406237
821	1865502	403965
822	1867753	401691
823	1870032	399424
824	1872281	397150
825	1874540	394879
826	1876832	392614
827	1879083	390341
828	1881359	388072
829	1883626	385803
830	1885925	383539
831	1888186	381268
832	1890482	379004
833	1892737	376732
834	1895022	374465
835	1897313	372200
836	1899556	369925
837	1901832	367657
838	1904123	365391
839	1906334	363111
840	1908645	360849
841	1910891	358575
842	1913129	356300
843	1915388	354029
844	1917656	351759
845	1919949	349494
846	1922188	347219
847	1924442	344947
848	1926703	342676
849	1928992	340410
850	1931250	338138
851	1933555	335875
852	1935830	333607
853	1938077	331334
854	1940354	329066
855	1942603	326793
856	1944908	324529
857	1947159	322257
858	1949454	319991
859	1951730	317723
860	1954017	315456
861	1956273	313185
862	1958520	310912
863	1960831	308649
864	1963138	306385
865	1965416	304117
866	1967677	301846
867	1970004	299585
868	1972346	297327
869	1974641	295061
870	1976904	292790
871	1979181	290522
872	1981457	288253
873	1983722	285982
874	1986038	283719
875	1988306	281449
876	1990616	279185
877	1992895	276917
878	1995118	274640
879	1997399	272372
880	1999624	270096
881	2001927	267831
882	2004207	265563
883	2006484	263294
884	2008742	261023
885	2011023	258754
886	2013268	256481
887	2015518	254209
888	2017782	251939
889	2020038	249667
890	2022327	247400
891	2024602	245131
892	2026882	242862
893	2029183	240596
894	2031466	238328
895	2033745	236059
896	2035995	233787
897	2038266	231518
898	2040523	229246
899	2042809	226978
900	2045113	224712
901	2047433	222448
902	2049677	220175
903	2051938	217904
904	2054232	215637
905	2056511	213368
906	2058795	211100
907	2061045	208828
908	2063284	206555
909	2065525	204282
910	2067800	202013
911	2070070	199743
912	2072323	197472
913	2074629	195205
914	2076918	192937
915	2079185	190667
916	2081498	188401
917	2083761	186131
918	2086011	183859
919	2088281	181589
920	2090550	179319
921	2092845	177052
922	2095106	174781
923	2097362	172510
924	2099614	170239
925	2101878	167968
926	2104145	165698
927	2106480	163433
928	2108759	161164
929	2111058	158896
930	2113322	156626
931	2115632	154359
932	2117907	152089
933	2120190	149820
934	2122456	147550
935	2124745	145281
936	2127021	143012
937	2129280	140741
938	2131554	138471
939	2133843	136202
940	2136084	133930
941	2138341	131660
942	2140638	129391
943	2142918	127122
944	2145184	124851
945	2147439	122581
946	2149695	120310
947	2151969	118040
948	2154229	115769
949	2156463	113498
950	2158724	111227
951	2160978	108956
952	2163223	106685
953	2165511	104416
954	2167751	102145
955	2170097	99878
956	2172353	97608
957	2174590	95336
958	2176852	93066
959	2179106	90796
960	2181333	88524
961	2183624	86255
962	2185882	83985
963	2188101	81713
964	2190358	79443
965	2192590	77171
966	2194935	74904
967	2197197	72634
968	2199519	70366
969	2201796	68096
970	2204094	65827
971	2206382	63558
972	2208650	61288
973	2210928	59018
974	2213231	56749
975	2215500	54479
976	2217738	52208
977	2220016	49939
978	2222283	47669
979	2224592	45399
980	2226840	43129
981	2229118	40859
982	2231374	38589
983	2233637	36319
984	2235941	34049
985	2238199	31779
986	2240442	29509
987	2242725	27239
988	2245001	24969
989	2247264	22699
990	2249520	20429
991	2251838	18159
992	2254101	15889
993	2256395	13620
994	2258661	11350
995	2260913	9079
996	2263195	6810
997	2265464	4540
998	2267760	2270
999	2270093	0
